birdID,species,bandNumber,colorComboL,colorComboR
1202-99036,AMRO,1202-99036,X,GO
1202-99037,AMRO,1202-99037,K,WX
1202-99038,AMRO,1202-99038,W,XR
1202-99039,AMRO,1202-99039,X,BK
1202-99041,AMRO,1202-99041,O,KX
1202-99042,AMRO,1202-99042,XK,G
1202-99043,AMRO,1202-99043,X,KK
1202-99045,AMRO,1202-99045,XR,K
1202-99046,AMRO,1202-99046,X,MW
1202-99048,AMRO,1202-99048,OX,K
1202-99049,AMRO,1202-99049,X,YR
1202-99050,AMRO,1202-99050,R,XB
1202-99052,AMRO,1202-99052,X,YY
1202-99053,AMRO,1202-99053,XG,G
1202-99054,AMRO,1202-99054,GG,X
1202-99055,AMRO,1202-99055,WW,X
1202-99056,AMRO,1202-99056,-,X
1202-99059,AMRO,1202-99059,BO,X
1202-99060,AMRO,1202-99060,X,PP
1202-99061,AMRO,1202-99061,GY,X
1202-99062,AMRO,1202-99062,XY,G
1202-99063,AMRO,1202-99063,PX,O
1202-99064,AMRO,1202-99064,XM,P
1202-99065,AMRO,1202-99065,G,XP
1202-99066,AMRO,1202-99066,P,X
1202-99067,AMRO,1202-99067,Y,X
1202-99068,AMRO,1202-99068,X,M
1202-99069,AMRO,1202-99069,R,YX
1202-99070,AMRO,1202-99070,X,KR
1202-99071,AMRO,1202-99071,X,WY
1202-99072,AMRO,1202-99072,YM,X
1202-99073,AMRO,1202-99073,O,WX
1202-99074,AMRO,1202-99074,OO,X
1202-99075,AMRO,1202-99075,WK,X
1202-99076,AMRO,1202-99076,MX,O
1202-99077,AMRO,1202-99077,OX,O
1202-99078,AMRO,1202-99078,X,OB
1202-99079,AMRO,1202-99079,GK,X
1202-99080,AMRO,1202-99080,BX,M
1202-99081,AMRO,1202-99081,Y,XY
1202-99082,AMRO,1202-99082,Y,XY
1202-99083,AMRO,1202-99083,Y,XY
1202-99084,AMRO,1202-99084,XB,P
1202-99085,AMRO,1202-99085,X,PY
1202-99086,AMRO,1202-99086,XO,P
1202-99087,AMRO,1202-99087,R,PX
1202-99088,AMRO,1202-99088,X,YP
1202-99089,AMRO,1202-99089,X,MB
1202-99090,AMRO,1202-99090,YX,K
1202-99091,AMRO,1202-99091,YX,P
1202-99092,AMRO,1202-99092,O,XP
1202-99093,AMRO,1202-99093,B,RX
1202-99094,AMRO,1202-99094,MX,P
1202-99095,AMRO,1202-99095,R,XP
1202-99096,AMRO,1202-99096,-,XY
1202-99097,AMRO,1202-99097,X,PR
1202-99100,AMRO,1202-99100,KG,X
1212-11431,AMRO,1212-11431,YX,R
1212-11432,AMRO,1212-11432,OY,X
1212-11434,AMRO,1212-11434,M,BX
1212-11435,AMRO,1212-11435,YX,M
1212-11436,AMRO,1212-11436,O,XK
1212-11439,AMRO,1212-11439,XK,R
1212-11441,AMRO,1212-11441,Y,XG
1212-11442,AMRO,1212-11442,X,GR
1212-11445,AMRO,1212-11445,GM,X
1212-27601,AMRO,1212-27601,MX,W
1212-27602,AMRO,1212-27602,X,-
1212-27603,AMRO,1212-27603,G,XG
1212-27604,AMRO,1212-27604,OB,X
1212-27606,AMRO,1212-27606,KY,X
1212-27607,AMRO,1212-27607,B,GX
1212-27608,AMRO,1212-27608,PX,G
1212-27609,AMRO,1212-27609,B,YX
1212-27611,AMRO,1212-27611,RX,R
1212-27612,AMRO,1212-27612,OX,B
1212-27614,AMRO,1212-27614,BX,P
1212-27615,AMRO,1212-27615,PB,X
1212-27617,AMRO,1212-27617,YY,X
1212-27618,AMRO,1212-27618,BP,X
1212-27619,AMRO,1212-27619,O,OX
1212-27620,AMRO,1212-27620,X,YR
1212-27621,AMRO,1212-27621,O,YX
1212-27622,AMRO,1212-27622,XR,B
1212-27623,AMRO,1212-27623,WX,W
1212-27624,AMRO,1212-27624,BX,O
1212-27625,AMRO,1212-27625,MX,R
1212-27626,AMRO,1212-27626,X,RY
1212-27628,AMRO,1212-27628,Y,XW
1212-27631,AMRO,1212-27631,O,XB
1212-27632,AMRO,1212-27632,YG,X
1212-27633,AMRO,1212-27633,WR,X
1212-27634,AMRO,1212-27634,MX,K
1212-27635,AMRO,1212-27635,X,OR
1212-27636,AMRO,1212-27636,GR,X
1212-27637,AMRO,1212-27637,XO,M
1212-27638,AMRO,1212-27638,B,XB
1212-27640,AMRO,1212-27640,BX,W
1212-27641,AMRO,1212-27641,XG,W
1212-27642,AMRO,1212-27642,XB,W
1212-27643,AMRO,1212-27643,GX,Y
1212-27644,AMRO,1212-27644,G,GX
1212-27645,AMRO,1212-27645,BX,W
1212-36635,AMRO,1212-36635,RG,X
1212-36636,AMRO,1212-36636,OK,X
1212-36637,AMRO,1212-36637,X,RR
1212-36638,AMRO,1212-36638,GK,X
1212-36639,AMRO,1212-36639,GG,X
1212-36640,AMRO,1212-36640,WY,X
1212-36641,AMRO,1212-36641,X,OB
1212-36642,AMRO,1212-36642,XY,M
1212-36643,AMRO,1212-36643,B,MX
1212-36644,AMRO,1212-36644,GY,X
1212-36645,AMRO,1212-36645,WM,X
1212-36646,AMRO,1212-36646,B,WX
1212-36647,AMRO,1212-36647,B,RX
1212-36648,AMRO,1212-36648,MB,X
1212-36649,AMRO,1212-36649,G,XM
1212-36650,AMRO,1212-36650,X,KY
1212-36651,AMRO,1212-36651,R,OX
1212-36652,AMRO,1212-36652,KG,X
1212-36653,AMRO,1212-36653,X,WR
1212-36654,AMRO,1212-36654,O,XR
1212-36656,AMRO,1212-36656,W,XY
1212-36657,AMRO,1212-36657,RR,X
1212-36658,AMRO,1212-36658,XB,G
1212-36659,AMRO,1212-36659,XW,W
1212-36660,AMRO,1212-36660,MX,M
1212-36661,AMRO,1212-36661,R,XR
1212-36662,AMRO,1212-36662,YK,X
1212-36663,AMRO,1212-36663,W,XG
1212-36665,AMRO,1212-36665,W,XB
1212-36666,AMRO,1212-36666,WG,X
1212-36667,AMRO,1212-36667,B,XO
1212-36668,AMRO,1212-36668,X,OG
1212-36669,AMRO,1212-36669,M,XR
