birdID,visitID,timeEnc,observerCapture,typeCapture,bandNumber,colorComboL,colorComboR,age,sex,dispositionCode
1920-85878,HAMIMARMD1_2000-04-28,NA,NA,B,1920-85878,W,XM,AHY,M,1
1920-85877,HAMIMARMD1_2000-04-28,NA,NA,B,1920-85877,X,YG,U,F,1
1920-85881,PERRCHRMD1_2000-04-28,NA,NA,B,1920-85881,KX,G,U,M,1
1920-85880,PERRCHRMD1_2000-04-28,NA,NA,B,1920-85880,YX,Y,U,F,1
1920-85879,PERRCHRMD1_2000-04-28,NA,NA,B,1920-85879,GR,X,U,M,1
791-17732,PERRCHRMD1_2000-04-28,NA,NA,B,791-17732,-,UNK,AHY,M,1
1141-05702,PERRCHRMD1_2000-04-28,NA,NA,B,1141-05702,BX,G,ASY,M,1
1141-05705,LUCIDANMD1_2000-04-30,NA,NA,B,1141-05705,X,WK,AHY,M,1
1920-85882,LUCIDANMD1_2000-04-30,NA,NA,B,1920-85882,XG,M,AHY,M,1
1920-85884,SULLPAUVA1_2000-05-08,NA,NA,B,1920-85884,OG,X,U,M,1
1920-85883,SULLPAUVA1_2000-05-08,NA,NA,B,1920-85883,X,RB,U,M,1
1920-85887,COLALISMD1_2000-05-12,NA,NA,B,1920-85887,XR,B,U,M,1
1920-85885,MCKEJANMD1_2000-05-12,NA,NA,B,1920-85885,X,BW,AHY,M,1
1141-05706,MCKEJANMD1_2000-05-12,NA,NA,B,1141-05706,MX,B,U,M,1
1920-85886,MCKEJANMD1_2000-05-12,NA,NA,B,1920-85886,OX,K,AHY,M,1
791-17736,EDEREDWVA1_2000-05-18,NA,NA,B,791-17736,X,YG,U,M,1
1920-85897,EDEREDWVA1_2000-05-18,NA,NA,B,1920-85897,XB,W,U,M,1
1920-85898,EDEREDWVA1_2000-05-18,NA,NA,B,1920-85898,YX,G,U,M,1
1920-85899,EDEREDWVA1_2000-05-18,NA,NA,B,1920-85899,MK,X,U,F,1
1920-85896,EDEREDWVA1_2000-05-18,NA,NA,B,1920-85896,B,XB,U,M,1
1920-85900,SULLPAUVA1_2000-05-18,NA,NA,B,1920-85900,G,XY,U,M,1
791-17737,MASIADRMD1_2000-05-23,NA,NA,B,791-17737,X,OO,U,M,1
742-29701,WALTBONMD1_2000-05-25,NA,NA,B,742-29701,X,G,U,F,1
742-29702,MCLERICMD1_2000-05-26,NA,NA,B,742-29702,O,MX,U,F,1
1920-85901,DANIBARMD1_2000-06-01,NA,NA,B,1920-85901,X,GK,U,F,1
1920-85902,TATEJUAMD1_2000-06-01,NA,NA,B,1920-85902,RX,G,U,F,1
1141-05711,TATEJUAMD1_2000-06-01,NA,NA,B,1141-05711,BM,X,U,F,1
719-17740,TATEJUAMD1_2000-06-01,NA,NA,B,719-17740,GX,M,U,M,1
791-17738,TATEJUAMD1_2000-06-01,NA,NA,B,791-17738,X,YO,U,M,1
791-17739,TATEJUAMD1_2000-06-01,NA,NA,B,791-17739,RX,K,U,F,1
1920-85905,BARBJERMD1_2000-06-02,NA,NA,B,1920-85905,K,WX,U,F,1
1920-85907,BARBJERMD1_2000-06-02,NA,NA,B,1920-85907,XR,K,U,F,1
791-17743,MOSMCARMD1_2000-06-02,NA,NA,B,791-17743,OX,B,AHY,M,1
791-17741,OBRICHRMD1_2000-06-02,NA,NA,B,791-17741,GR,X,U,M,1
791-17742,OBRICHRMD1_2000-06-02,NA,NA,B,791-17742,W,XM,U,F,1
1920-85904,RAUNERIMD1_2000-06-02,NA,NA,B,1920-85904,RX,K,U,M,1
1920-85903,RAUNERIMD1_2000-06-02,NA,NA,B,1920-85903,X,YO,U,F,1
1920-85906,BARBJERMD1_2000-06-03,NA,NA,B,1920-85906,BX,O,AHY,M,1
1141-05712,MOSMCARMD1_2000-06-03,NA,NA,B,1141-05712,BX,B,AHY,M,1
1141-05713,MOSMCARMD1_2000-06-03,NA,NA,B,1141-05713,Y,OX,AHY,M,1
791-17744,MOSMCARMD1_2000-06-03,NA,NA,B,791-17744,WX,G,AHY,F,1
1141-05714,MOSMCARMD1_2000-06-03,NA,NA,B,1141-05714,RX,M,AHY,F,1
1920-85909,RAYTIMMD1_2000-06-07,NA,NA,B,1920-85909,X,GB,U,M,1
1920-85910,RAYTIMMD1_2000-06-07,NA,NA,B,1920-85910,O,XB,U,F,1
791-17802,REITBOBMD1_2000-06-07,NA,NA,B,791-17802,YX,Y,U,F,1
791-17802,REITBOBMD1_2000-06-07,NA,NA,B,791-17802,YX,Y,U,F,1
1920-85911,TUFTKATMD1_2000-06-07,NA,NA,B,1920-85911,GX,M,U,M,1
1920-85912,TUFTKATMD1_2000-06-07,NA,NA,B,1920-85912,Y,OX,U,F,1
791-17801,TUFTKATMD1_2000-06-07,NA,NA,B,791-17801,G,XY,U,F,1
791-17803,JONECBRMD1_2000-06-09,NA,NA,B,791-17803,Y,OX,U,M,1
1920-85914,JONECBRMD1_2000-06-09,NA,NA,B,1920-85914,MG,X,U,M,1
1920-85913,JONECBRMD1_2000-06-09,NA,NA,B,1920-85913,WX,O,U,F,1
1920-85915,JONECBRMD1_2000-06-09,NA,NA,B,1920-85915,X,BB,U,F,1
791-17804,JONECBRMD1_2000-06-09,NA,NA,B,791-17804,RX,M,U,M,1
1141-05715,MILLPAUMD1_2000-06-09,NA,NA,B,1141-05715,XY,B,U,M,1
791-17805,MILLPAUMD1_2000-06-09,NA,NA,B,791-17805,OX,G,U,M,1
1141-05717,MILLPAUMD1_2000-06-09,NA,NA,B,1141-05717,OX,R,U,F,1
791-17307,HADDMARMD1_2000-06-11,NA,NA,B,791-17307,KW,X,U,M,1
791-17308,HADDMARMD1_2000-06-11,NA,NA,B,791-17308,MX,Y,U,F,1
1141-05718,ROHRSALMD1_2000-06-13,NA,NA,B,1141-05718,W,RX,U,F,1
791-17807,ROHRSALMD1_2000-06-13,NA,NA,B,791-17807,OG,X,U,F,1
791-17806,ROHRSALMD1_2000-06-13,NA,NA,B,791-17806,Y,XB,U,M,1
1920-85916,ROHRSALMD1_2000-06-13,NA,NA,B,1920-85916,XB,W,U,F,1
791-17808,BRUEELIMD1_2000-06-14,NA,NA,B,791-17808,X,YY,U,M,1
791-17809,BRUEELIMD1_2000-06-14,NA,NA,B,791-17809,MW,X,U,M,1
1141-05727,BRUEELIMD1_2000-06-14,NA,NA,B,1141-05727,Y,YX,U,M,1
1141-05723,BRUEELIMD1_2000-06-14,NA,NA,B,1141-05723,X,OO,U,F,1
1141-05724,BRUEELIMD1_2000-06-14,NA,NA,B,1141-05724,X,YY,U,F,1
1920-85920,BRUEELIMD1_2000-06-14,NA,NA,B,1920-85920,X,YR,U,F,1
1141-05719,MANNJANDC1_2000-06-14,NA,NA,B,1141-05719,R,OX,U,F,1
1141-05721,MANNJANDC1_2000-06-14,NA,NA,B,1141-05721,Y,BX,U,F,1
1920-85917,MANNJANDC1_2000-06-14,NA,NA,B,1920-85917,WX,Y,U,F,1
1920-85919,MANNJANDC1_2000-06-14,NA,NA,B,1920-85919,XG,B,U,F,1
1141-05722,MANNJANDC1_2000-06-14,NA,NA,B,1141-05722,XO,R,U,M,1
1920-85918,MANNJANDC1_2000-06-14,NA,NA,B,1920-85918,MX,R,NA,NA,1
1141-05728,GOUGGREMD1_2000-06-15,NA,NA,B,1141-05728,YO,X,U,F,1
1141-05729,GOUGGREMD1_2000-06-15,NA,NA,B,1141-05729,M,XR,U,M,1
791-17746,GOUGGREMD1_2000-06-15,NA,NA,B,791-17746,XG,Y,U,M,1
791-17747,GOUGGREMD1_2000-06-15,NA,NA,B,791-17747,KX,B,U,M,1
791-17745,GOUGGREMD1_2000-06-15,NA,NA,B,791-17745,XB,O,U,F,1
1920-85921,GOUGGREMD1_2000-06-15,NA,NA,B,1920-85921,X,MM,U,F,1
1920-85923,MAHOJIMMD1_2000-06-16,NA,NA,B,1920-85923,W,XO,HY,M,1
1141-05731,MAHOJIMMD1_2000-06-16,NA,NA,B,1141-05731,W,XO,U,M,1
791-17749,MAHOJIMMD1_2000-06-16,NA,NA,B,791-17749,M,WX,U,M,1
791-17748,MAHOJIMMD1_2000-06-16,NA,NA,B,791-17748,UNK,UNK,NA,NA,1
1141-05730,MAHOJIMMD1_2000-06-16,NA,NA,B,1141-05730,RX,Y,U,F,1
1141-05732,MAHOJIMMD1_2000-06-16,NA,NA,B,1141-05732,X,BM,U,F,1
1920-85924,MAHOJIMMD1_2000-06-16,NA,NA,B,1920-85924,X,BM,U,M,1
1920-85926,MAHOJIMMD1_2000-06-16,NA,NA,B,1920-85926,WX,R,U,F,1
1920-85922,MAHOJIMMD1_2000-06-16,NA,NA,B,1920-85922,RX,Y,AHY,F,1
1920-85933,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85933,KM,X,U,M,1
1920-85928,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85928,G,XO,NA,NA,1
1920-85929,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85929,R,XB,U,F,1
1141-05733,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05733,YR,X,U,F,1
1141-05735,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05735,WX,G,U,F,1
1141-05736,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05736,RX,K,U,F,1
1141-05739,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05739,XY,Y,U,F,1
1141-05737,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05737,Y,MX,HY,U,1
1920-85927,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85927,YR,X,U,M,1
1141-05738,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05738,Y,RX,U,M,1
1141-05720,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05720,XB,O,U,F,1
1920-85930,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85930,X,GO,U,F,1
1920-85932,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85932,X,MW,U,F,1
1141-05734,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05734,M,WX,U,F,1
791-17811,BLOCDAVMD1_2000-06-21,NA,NA,B,791-17811,WX,Y,U,M,1
1141-05740,ODELVINMD1_2000-06-21,NA,NA,B,1141-05740,X,BY,U,M,1
1920-85936,ODELVINMD1_2000-06-21,NA,NA,B,1920-85936,G,XR,U,M,1
791-17812,ODELVINMD1_2000-06-21,NA,NA,B,791-17812,X,MM,U,M,1
1141-05742,ODELVINMD1_2000-06-21,NA,NA,B,1141-05742,O,X,NA,NA,1
1920-85939,ODELVINMD1_2000-06-21,NA,NA,B,1920-85939,G,XW,U,M,1
1920-85937,ODELVINMD1_2000-06-21,NA,NA,B,1920-85937,XB,O,U,M,1
1920-85935,ODELVINMD1_2000-06-21,NA,NA,B,1920-85935,X,OR,U,F,1
791-17810,ODELVINMD1_2000-06-21,NA,NA,B,791-17810,X,OR,U,F,1
1141-05741,ODELVINMD1_2000-06-21,NA,NA,B,1141-05741,Y,XR,U,F,1
1920-85938,ODELVINMD1_2000-06-21,NA,NA,B,1920-85938,X,YM,U,F,1
1920-85934,ODELVINMD1_2000-06-21,NA,NA,B,1920-85934,X,YY,U,M,1
791-17813,ODELVINMD1_2000-06-21,NA,NA,B,791-17813,G,XO,U,M,1
791-17814,GOCHJOAMD1_2000-06-23,NA,NA,B,791-17814,M,XB,U,M,1
791-17815,CALLJERMD1_2000-06-29,NA,NA,B,791-17815,WX,O,U,M,1
791-17816,CALLJERMD1_2000-06-29,NA,NA,B,791-17816,X,BY,U,M,1
1920-85940,CALLJERMD1_2000-06-29,NA,NA,B,1920-85940,GX,R,U,F,1
1920-85941,SALOSHEMD1_2000-06-29,NA,NA,B,1920-85941,RX,O,U,F,1
1920-85942,SALOSHEMD1_2000-06-29,NA,NA,B,1920-85942,Y,XB,NA,NA,1
791-17817,SALOSHEMD1_2000-06-29,NA,NA,B,791-17817,W,BX,U,M,1
1141-05743,SALOSHEMD1_2000-06-29,NA,NA,B,1141-05743,XY,O,U,M,1
1920-95945,FERRSUEMD1_2000-06-30,NA,NA,B,1920-95945,K,OX,U,M,1
791-17819,HEATSUEVA1_2000-06-30,NA,NA,B,791-17819,RX,Y,U,M,1
1920-85944,HEATSUEVA1_2000-06-30,NA,NA,B,1920-85944,O,KX,U,M,1
791-17818,HEATSUEVA1_2000-06-30,NA,NA,B,791-17818,GX,O,U,F,1
1141-05744,HEATSUEVA1_2000-06-30,NA,NA,B,1141-05744,Y,XM,U,F,1
1920-85943,HEATSUEVA1_2000-06-30,NA,NA,B,1920-85943,M,XB,U,M,1
791-17820,HEATSUEVA1_2000-06-30,NA,NA,B,791-17820,KX,Y,U,F,1
791-17821,REITBOBMD1_2000-07-01,NA,NA,B,791-17821,BX,O,HY,U,1
791-17821,REITBOBMD1_2000-07-01,NA,NA,B,791-17821,BX,O,HY,U,1
1920-85946,FERRSUEMD1_2000-07-05,NA,NA,B,1920-85946,X,KR,U,F,1
791-17822,FERRSUEMD1_2000-07-05,NA,NA,B,791-17822,X,BM,U,M,1
1141-05745,FERRSUEMD1_2000-07-05,NA,NA,B,1141-05745,B,BX,U,M,1
1920-85947,MCKEANNVA1_2000-07-06,NA,NA,B,1920-85947,YX,Y,U,M,1
19210-85949,MCKEANNVA1_2000-07-06,NA,NA,B,19210-85949,RX,R,AHY,F,1
1920-85950,MCKEANNVA1_2000-07-06,NA,NA,B,1920-85950,BX,B,AHY,F,1
1920-85948,MCKEANNVA1_2000-07-06,NA,NA,B,1920-85948,OX,O,HY,U,1
1141-05747,MCKEANNVA1_2000-07-06,NA,NA,B,1141-05747,XY,M,HY,U,1
1141-05748,MCKEANNVA1_2000-07-06,NA,NA,B,1141-05748,R,RX,HY,U,1
1141-05749,MCKEANNVA1_2000-07-06,NA,NA,B,1141-05749,X,MY,HY,U,1
1141-05746,MCKEANNVA1_2000-07-06,NA,NA,B,1141-05746,X,GG,U,M,1
1920-85951,MCKEANNVA1_2000-07-06,NA,NA,B,1920-85951,MX,M,U,M,1
1920-85952,GOCHJOAMD1_2000-07-07,NA,NA,B,1920-85952,XR,M,U,M,1
1920-85955,GOCHJOAMD1_2000-07-07,NA,NA,B,1920-85955,GX,Y,U,M,1
1920-85956,GOCHJOAMD1_2000-07-07,NA,NA,B,1920-85956,BR,X,U,M,1
791-17823,GOCHJOAMD1_2000-07-07,NA,NA,B,791-17823,X,GG,AHY,M,1
791-17824,GOCHJOAMD1_2000-07-07,NA,NA,B,791-17824,X,YR,U,F,1
1920-85954,GOCHJOAMD1_2000-07-07,NA,NA,B,1920-85954,X,GG,AHY,F,1
1920-85957,GOCHJOAMD1_2000-07-07,NA,NA,B,1920-85957,MX,G,HY,U,1
791-17825,GOCHJOAMD1_2000-07-07,NA,NA,B,791-17825,Y,MX,AHY,F,1
8081-54600,BALAELEMD1_2000-07-12,NA,NA,B,8081-54600,W,XM,AHY,M,1
1920-85958,MCCOJOHMD1_2000-07-13,NA,NA,B,1920-85958,KX,Y,U,M,1
791-17827,MCCOJOHMD1_2000-07-13,NA,NA,B,791-17827,X,GM,U,M,1
1920-85959,MCCOJOHMD1_2000-07-13,NA,NA,B,1920-85959,X,BK,U,F,1
791-17826,MCCOJOHMD1_2000-07-13,NA,NA,B,791-17826,X,BY,U,M,1
1141-05751,MCCOJOHMD1_2000-07-13,NA,NA,B,1141-05751,OX,G,HY,U,1
742-29703,SINGTONMD1_2000-07-14,NA,NA,B,742-29703,R,XM,U,F,1
1141-05752,SINGTONMD1_2000-07-14,NA,NA,B,1141-05752,MY,X,U,F,1
1141-05753,RABIANDMD1_2000-07-20,NA,NA,B,1141-05753,X,YB,U,M,1
1920-85962,RABIANDMD1_2000-07-20,NA,NA,B,1920-85962,RX,M,U,M,1
791-17828,RABIANDMD1_2000-07-20,NA,NA,B,791-17828,G,XR,U,F,1
1920-85960,RABIANDMD1_2000-07-20,NA,NA,B,1920-85960,XB,G,HY,U,1
1920-85961,RABIANDMD1_2000-07-20,NA,NA,B,1920-85961,XY,R,HY,U,1
791-17750,RABIANDMD1_2000-07-20,NA,NA,B,791-17750,RM,X,U,M,1
791-17829,DORNROBMD1_2000-07-21,NA,NA,B,791-17829,K,XM,U,M,1
1920-85964,MITCBARMD1_2000-07-22,NA,NA,B,1920-85964,OY,X,AHY,M,1
791-17831,MITCBARMD1_2000-07-22,NA,NA,B,791-17831,X,GO,AHY,M,1
791-17830,MITCBARMD1_2000-07-22,NA,NA,B,791-17830,M,OX,AHY,F,1
791-17832,MITCBARMD1_2000-07-22,NA,NA,B,791-17832,XR,B,AHY,F,1
1920-85965,MITCBARMD1_2000-07-22,NA,NA,B,1920-85965,Y,MX,AHY,F,1
1920-85963,MITCBARMD1_2000-07-22,NA,NA,B,1920-85963,KX,G,HY,U,1
791-17833,OMLAKEVMD1_2000-07-24,NA,NA,B,791-17833,RX,O,U,U,1
791-17834,OMLAKEVMD1_2000-07-24,NA,NA,B,791-17834,W,XO,AHY,F,1
1141-05754,OMLAKEVMD1_2000-07-24,NA,NA,B,1141-05754,GB,X,U,U,1
1141-05755,OMLAKEVMD1_2000-07-24,NA,NA,B,1141-05755,KX,R,U,U,1
1920-85966,OMLAKEVMD1_2000-07-24,NA,NA,B,1920-85966,BX,G,U,M,1
1920-85967,OMLAKEVMD1_2000-07-24,NA,NA,B,1920-85967,XK,K,U,U,1
791-17751,GALLMONVA1_2000-07-25,NA,NA,B,791-17751,YR,X,AHY,F,1
1141-05756,GALLTERMD1_2000-07-25,NA,NA,B,1141-05756,G,GX,U,U,1
791-17752,GALLTERMD1_2000-07-25,NA,NA,B,791-17752,O,GX,AHY,F,1
1141-05757,GALLTERMD1_2000-07-25,NA,NA,B,1141-05757,XW,R,AHY,F,1
820-94560,KOSLDREMD1_2001-03-15,NA,NA,B,820-94560,MX,G,AHY,M,1
791-17004,KOSLDREMD1_2001-03-15,NA,NA,B,791-17004,R,XG,AHY,M,1
820-94562,KOSLDREMD1_2001-03-15,NA,NA,B,820-94562,KX,M,AHY,M,1
1141-05758,KOSLDREMD1_2001-03-15,NA,NA,B,1141-05758,R,XG,AHY,M,1
791-17003,KOSLDREMD1_2001-03-15,NA,NA,B,791-17003,XY,B,AHY,M,1
820-94561,KOSLDREMD1_2001-03-15,NA,NA,B,820-94561,RX,G,AHY,M,1
1141-05769,COFFMICMD1_2001-03-22,NA,NA,B,1141-05769,X,YG,AHY,M,1
791-17012,COFFMICMD1_2001-03-22,NA,NA,B,791-17012,OY,X,AHY,M,1
1141-05770,COFFMICMD1_2001-03-22,NA,NA,B,1141-05770,W,XM,AHY,F,1
820-94565,COFFMICMD1_2001-03-22,NA,NA,B,820-94565,X,KO,U,U,1
820-94566,COFFMICMD1_2001-03-22,NA,NA,B,820-94566,KY,X,U,U,1
820-94567,HAMMBARMD1_2001-03-23,NA,NA,B,820-94567,Y,WX,AHY,M,1
820-94568,HAMMBARMD1_2001-03-23,NA,NA,B,820-94568,GX,G,AHY,U,1
820-94569,HAMMBARMD1_2001-03-23,NA,NA,B,820-94569,OR,X,AHY,U,1
1141-05771,HAMMBARMD1_2001-03-23,NA,NA,B,1141-05771,YX,Y,AHY,M,1
820-94570,HAMMBARMD1_2001-03-23,NA,NA,B,820-94570,XB,M,AHY,M,1
791-17013,HAMMBARMD1_2001-03-23,NA,NA,B,791-17013,YW,X,AHY,M,1
791-17014,WIKACORMD1_2001-03-26,NA,NA,B,791-17014,W,XW,AHY,M,1
820-94572,WIKACORMD1_2001-03-26,NA,NA,B,820-94572,O,BX,AHY,U,1
820-94571,WIKACORMD1_2001-03-26,NA,NA,B,820-94571,X,YW,AHY,F,1
820-94573,MARRPETMD1_2001-03-28,NA,NA,B,820-94573,XM,G,U,U,1
820-94574,MORAJANMD1_2001-04-04,NA,NA,B,820-94574,M,XO,AHY,M,1
820-94575,MORAJANMD1_2001-04-04,NA,NA,B,820-94575,XK,B,AHY,U,1
791-17015,MORAJANMD1_2001-04-04,NA,NA,B,791-17015,X,RM,AHY,M,1
820-94577,SERCGUEMD1_2001-04-05,NA,NA,B,820-94577,XM,O,AHY,M,1
820-94578,SERCGUEMD1_2001-04-05,NA,NA,B,820-94578,K,XG,AHY,M,1
820-94579,SERCGUEMD1_2001-04-05,NA,NA,B,820-94579,X,YY,AHY,M,1
820-94576,SERCGUEMD1_2001-04-05,NA,NA,B,820-94576,K,XR,AHY,M,1
820-94580,DANIBARMD1_2001-04-06,NA,NA,B,820-94580,KO,X,AHY,M,1
820-94582,DANIBARMD1_2001-04-06,NA,NA,B,820-94582,MX,Y,AHY,M,1
820-94581,DANIBARMD1_2001-04-06,NA,NA,B,820-94581,KW,X,AHY,U,1
820-94583,DANIBARMD1_2001-04-06,NA,NA,B,820-94583,K,GX,AHY,U,1
1141-05754,OMLAKEVMD1_2001-04-09,NA,NA,R,1141-05754,GB,X,U,U,1
791-17016,THOMSUEMD1_2001-04-09,NA,NA,B,791-17016,KO,X,AHY,M,1
1141-05772,THOMSUEMD1_2001-04-09,NA,NA,B,1141-05772,XR,B,AHY,F,1
820-94584,THOMSUEMD1_2001-04-09,NA,NA,B,820-94584,OX,M,AHY,U,1
820-94585,THOMSUEMD1_2001-04-09,NA,NA,B,820-94585,K,YX,AHY,U,1
1141-05773,RICHLIBMD1_2001-04-10,NA,NA,B,1141-05773,OG,X,AHY,M,1
791-17017,RICHLIBMD1_2001-04-10,NA,NA,B,791-17017,XG,B,AHY,M,1
1141-05774,GARDVALMD1_2001-04-12,NA,NA,B,1141-05774,OY,X,AHY,M,1
820-94587,GARDVALMD1_2001-04-12,NA,NA,B,820-94587,X,BR,AHY,M,1
791-17019,GARDVALMD1_2001-04-12,NA,NA,B,791-17019,G,XK,AHY,F,1
8209-74586,GARDVALMD1_2001-04-12,NA,NA,B,8209-74586,G,RX,AHY,M,1
791-17018,GARDVALMD1_2001-04-12,NA,NA,B,791-17018,B,XW,AHY,M,1
820-94588,GARDVALMD1_2001-04-12,NA,NA,B,820-94588,X,MG,AHY,M,1
1141-05547,GROSJEAMD1_2001-04-12,NA,NA,B,1141-05547,X,RY,AHY,U,1
1751-52000,SUITKATMD1_2001-04-14,NA,NA,B,1751-52000,O,RX,AHY,F,1
1141-05775,MISBJANMD1_2001-04-17,NA,NA,B,1141-05775,BX,O,ASY,U,1
820-94589,MISBJANMD1_2001-04-17,NA,NA,B,820-94589,Y,XO,ASY,U,1
2250-24001,PERRCHRMD1_2001-04-17,NA,NA,B,2250-24001,X,GB,AHY,U,1
791-17732,PERRCHRMD1_2001-04-17,NA,NA,R,791-17732,-,UNK,AHY,M,1
791-17021,WISECELMD1_2001-04-17,NA,NA,B,791-17021,RX,O,ASY,F,1
791-17020,WISECELMD1_2001-04-17,NA,NA,B,791-17020,XW,W,AHY,M,1
1141-05776,WISECELMD1_2001-04-17,NA,NA,B,1141-05776,YW,X,ASY,M,1
1152-87402,BEALTOMMD1_2001-04-18,NA,NA,B,1152-87402,WK,X,AHY,M,1
791-17022,BURRANDMD1_2001-04-18,NA,NA,B,791-17022,Y,XG,AHY,F,1
1152-87401,BURRANDMD1_2001-04-18,NA,NA,B,1152-87401,R,OX,AHY,F,1
791-17023,BURRANDMD1_2001-04-18,NA,NA,B,791-17023,MB,X,AHY,M,1
1751-51999,HAMIMARMD1_2001-04-18,NA,NA,B,1751-51999,X,GR,AHY,M,1
1141-05548,SPEYPAUMD1_2001-04-18,NA,NA,B,1141-05548,XM,M,AHY,M,1
1751-51998,SPEYPAUMD1_2001-04-18,NA,NA,B,1751-51998,XB,Y,AHY,M,1
2250-24003,SPEYPAUMD1_2001-04-18,NA,NA,B,2250-24003,XW,G,AHY,F,1
1751-51996,SPEYPAUMD1_2001-04-18,NA,NA,B,1751-51996,X,OG,AHY,F,1
1751-51997,SPEYPAUMD1_2001-04-18,NA,NA,B,1751-51997,XM,R,AHY,M,1
1152-87551,CAINBRIMD1_2001-04-19,NA,NA,B,1152-87551,RX,G,AHY,M,1
1141-05550,CAINBRIMD1_2001-04-19,NA,NA,B,1141-05550,BX,G,AHY,F,1
1152-87550,CAINBRIMD1_2001-04-19,NA,NA,B,1152-87550,KX,-,AHY,F,1
2250-24004,CAINBRIMD1_2001-04-19,NA,NA,B,2250-24004,X,BW,AHY,M,1
1141-05549,CAINBRIMD1_2001-04-19,NA,NA,B,1141-05549,WW,X,AHY,M,1
1141-05778,HELFGAIMD1_2001-04-19,NA,NA,B,1141-05778,X,OR,AHY,M,1
820-94590,HELFGAIMD1_2001-04-19,NA,NA,B,820-94590,MR,X,ASY,M,1
1751-51994,WIKACORMD1_2001-04-19,NA,NA,B,1751-51994,YX,B,AHY,M,1
1141-05551,WIKACORMD1_2001-04-19,NA,NA,B,1141-05551,XW,G,AHY,F,1
1751-51995,WIKACORMD1_2001-04-19,NA,NA,B,1751-51995,RO,X,AHY,F,1
1751-51993,DORNROBMD1_2001-04-20,NA,NA,B,1751-51993,RX,G,AHY,M,1
1152-87549,DORNROBMD1_2001-04-20,NA,NA,B,1152-87549,B,YX,SY,F,1
1141-05552,DORNROBMD1_2001-04-20,NA,NA,B,1141-05552,MM,X,AHY,M,1
1152-87548,DORNROBMD1_2001-04-20,NA,NA,B,1152-87548,X,KO,SY,F,1
1751-51992,MILLPAUMD1_2001-04-20,NA,NA,B,1751-51992,X,OG,AHY,M,1
2250-24006,MILLPAUMD1_2001-04-20,NA,NA,B,2250-24006,RX,K,AHY,M,1
2250-24005,MILLPAUMD1_2001-04-20,NA,NA,B,2250-24005,X,OO,AHY,F,1
1152-87547,GORDELIDC1_2001-04-21,NA,NA,B,1152-87547,KY,X,SY,F,1
2250-24007,GALLTERMD1_2001-04-23,NA,NA,B,2250-24007,X,YO,AHY,F,1
1141-05757,GALLTERMD1_2001-04-23,NA,NA,R,1141-05757,XW,R,AHY,F,1
820-94591,TINIKATMD1_2001-04-23,NA,NA,B,820-94591,OR,X,AHY,F,1
1141-05777,TINIKATMD1_2001-04-23,NA,NA,B,1141-05777,YX,R,ASY,M,1
820-94592,TINIKATMD1_2001-04-23,NA,NA,B,820-94592,Y,WX,AHY,M,1
820-94593,TINIKATMD1_2001-04-23,NA,NA,B,820-94593,WO,X,AHY,M,1
1751-51991,NICHALIMD1_2001-04-24,NA,NA,B,1751-51991,XW,Y,AHY,M,1
2250-24008,NICHALIMD1_2001-04-24,NA,NA,B,2250-24008,OX,B,AHY,M,1
1141-05557,RICHLIBMD1_2001-04-24,NA,NA,B,1141-05557,WB,X,AHY,M,1
1751-51990,RICHLIBMD1_2001-04-24,NA,NA,B,1751-51990,GM,X,AHY,F,1
1141-05779,SINGTONMD1_2001-04-24,NA,NA,B,1141-05779,X,MR,ASY,M,1
1141-05780,SINGTONMD1_2001-04-24,NA,NA,B,1141-05780,X,BO,AHY,M,1
791-17024,SINGTONMD1_2001-04-24,NA,NA,B,791-17024,XW,O,AHY,M,1
1751-51989,HARRPHYMD1_2001-04-25,NA,NA,B,1751-51989,XK,R,AHY,M,1
1751-51987,HARRPHYMD1_2001-04-25,NA,NA,B,1751-51987,BX,G,AHY,M,1
1751-51988,HARRPHYMD1_2001-04-25,NA,NA,B,1751-51988,WW,X,AHY,F,1
2250-24010,HARRPHYMD1_2001-04-25,NA,NA,B,2250-24010,KX,Y,AHY,F,1
2250-24009,HARRPHYMD1_2001-04-25,NA,NA,B,2250-24009,GX,M,U,U,1
1141-05781,WELLCARMD1_2001-04-25,NA,NA,B,1141-05781,X,OY,ASY,M,1
1152-87403,WELLCARMD1_2001-04-25,NA,NA,B,1152-87403,Y,BX,AHY,M,1
820-94594,WELLCARMD1_2001-04-25,NA,NA,B,820-94594,OX,Y,AHY,M,1
820-94595,WELLCARMD1_2001-04-25,NA,NA,B,820-94595,X,OW,AHY,M,1
791-17025,DAVIALIVA1_2001-04-26,NA,NA,B,791-17025,XB,R,SY,M,1
