site,date,observerEnc,encounterType,bandNumber,rsLong,rsLat
CANNANNMA1,6/21/2016,SMB,Resight-targeted,2641-85611,-72.53558,42.31897
MERIMARMA1,6/26/2016,TMB,Resight-incidental,2690-87789,-72.70177,42.31003
MERIMARMA1,6/26/2016,TMB,Resight-incidental,2690-87794,-72.70177,42.31003
MERIMARMA1,6/26/2016,TMB,Resight-incidental,2720-99664,-72.70177,42.31003
MERIMARMA1,6/26/2016,TMB,Resight-incidental,2720-99665,-72.70177,42.31003
MERIMARMA1,6/26/2016,TMB,Resight-targeted,2651-43264,-72.69973,42.31059
SURNSANMA1,7/4/2016,TMB,Resight-incidental,1891-11058,-72.5309,42.36445
DOYLPHIMA1,7/8/2016,SBL,Resight-incidental,2651-43267,NA,NA
RINADAVMA1,7/10/2016,TMB,Resight-targeted,2571-83052,-72.68148,42.0592
PICKSALMA1,7/11/2016,TMB,Resight-incidental,2750-34913,NA,NA
GRIFRACMA1,7/11/2016,SBL,Resight-incidental,2641-85630,NA,NA
MATHLYNMA1a,7/13/2016,TMB,Resight-incidental,2651-43300,-72.69594,42.58263
MATHLYNMA1a,7/13/2016,LMM,Resight-participant,2651-17178,NA,NA
ROSEJOSMA1,10/22/2016,NA,Resight-participant,272099619,NA,NA
HIGGBETMA1,NULL,NA,Resight-participant,-,NA,NA
