site,date,observerEnc,encounterType,bandNumber,rsLong,rsLat
MERIMARMA1,12/28/2013,NA,Resight-participant,269087794,NA,NA
DELUBILMA1,1/3/2014,NA,Resight-participant,189111011,NA,NA
AKREMIKMA2,1/25/2014,NA,Resight-participant,269106138,NA,NA
BENNBILMA1,1/31/2014,NA,Resight-participant,269087719,NA,NA
KANEBRIMA1,2/8/2014,NA,Resight-participant,273027545,NA,NA
KANEBRIMA1,2/8/2014,NA,Resight-participant,273027546,NA,NA
CLAYBRYMA1,3/2/2014,NA,Resight-participant,256186618,NA,NA
ZEPKJANMA1,3/18/2014,NA,Resight-participant,256186637,NA,NA
ZEPKJANMA1,3/18/2014,NA,Resight-participant,256186637,NA,NA
GRIFRACMA1,4/2/2014,NA,Resight-participant,121236664,NA,NA
DOPLJANMA1,4/7/2014,NA,Resight-participant,269087755,NA,NA
BENNBILMA1,4/11/2014,NA,Resight-participant,269087833,NA,NA
DOPLJANMA1,4/11/2014,NA,Resight-participant,121252856,NA,NA
SLONJOHMA1,4/12/2014,NA,Resight-participant,269087941,NA,NA
BODKANNMA1,4/14/2014,NA,Resight-participant,256186644,NA,NA
LEWASUSMA1,4/16/2014,NA,Resight-participant,256186608,NA,NA
MERCSUSMA1,4/18/2014,NA,Resight-participant,253191199,NA,NA
CLAYBRYMA1,4/26/2014,NA,Resight-participant,256186618,NA,NA
BAKENANMA1,4/28/2014,NA,Resight-participant,269087831,NA,NA
BAKENANMA1,5/1/2014,NA,Resight-participant,256186610,NA,NA
GRIFRACMA1,5/1/2014,NA,Resight-participant,121236664,NA,NA
BAKENANMA1,5/2/2014,NA,Resight-participant,269087830,NA,NA
KINGGEOMA1,5/6/2014,NA,Resight-participant,253191116,NA,NA
BAKENANMA1,5/7/2014,NA,Resight-participant,269087715,NA,NA
BENNBILMA1,5/9/2014,NA,Resight-participant,256186612,NA,NA
BENNBILMA1,5/10/2014,NA,Resight-participant,269087718,NA,NA
MERIMARMA1,5/10/2014,NA,Resight-participant,269087793,NA,NA
GRIFRACMA1,5/17/2014,NA,Resight-participant,189111070,NA,NA
BAKENANMA1,5/19/2014,NA,Resight-participant,256186610,NA,NA
LERMSUSMA1,5/20/2014,NA,Resight-participant,256186689,NA,NA
BENNBILMA1,5/23/2014,NA,Resight-participant,237104311,NA,NA
PIEPSUSMA1,5/27/2014,NA,Resight-technician,189111091,NA,NA
FAERHOWMA1,5/29/2014,NA,Resight-technician,253191126,NA,NA
ROSEJOSMA1,6/1/2014,NA,Resight-technician,189111048,NA,NA
