hub,site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,featherID,attachmentID,rsLong,rsLat,notesEnc
Springfield,KELLSETMA1,6/12/2012,,Band,GRCA,2531-91118,"A/O,O",AHY,M,CP,NULL,36,91,94,27.25,NULL,,,, 
Springfield,KELLSETMA1,6/12/2012,,Band,GRCA,2531-91119,"G/P,A",AHY,F,BP,NULL,33.9,85,89,27,NULL,,,, 
Springfield,KELLSETMA1,6/12/2012,,Band,GRCA,2531-91122,"P/A,P",AHY,M,CP,NULL,38.7,92,94,27.5,NULL,,,, 
Springfield,KELLSETMA1,6/12/2012,,Band,HOWR,2690-87920,"Y/A,R",AHY,M,CP,NULL,11.8,52,45,17.4,NULL,,,, 
Springfield,KELLSETMA1,6/12/2012,,Band,NOCA,2531-91121,"P/A,P",AHY,F,BP,NULL,44.8,95,95,26.2,NULL,,,, 
Springfield,KELLSETMA1,6/12/2012,,Band,SOSP,2571-83007,"R/W,A",AHY,M,CP,NULL,20.5,66,68,22.9,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,AMRO,1212-36641,"A,O/BU",ASY,M,CP,NULL,73.7,130,98,32.3,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,AMRO,1212-36637,"A,R/R",AHY,F,BP,NULL,NULL,125,89,32,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,AMRO,1212-36638,"G/BK,A",HY,U,J,NULL,74.3,138,91,34.9,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,AMRO,1212-36639,"G/G,A",ASY,M,CP,NULL,78.6,126,96,32.4,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,AMRO,1212-36636\t,"O/BK,A",AHY,M,CP,NULL,75,135,96,34.3,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,AMRO,1212-36640,"W/Y,A",ASY,F,BP,NULL,84.6,123,99,35.5,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,GRCA,1891-11010,"A,BK/Y",SY,F,BP,NULL,37,86,92,28.5,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,HOWR,2690-87819,"A,R/R",AHY,M,CP,NULL,10.7,51.5,41,16.6,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,HOWR,2690-87820,"A,BK/Y",AHY,F,BP,NULL,11,47,41,17.2,NULL,,,, 
Springfield,DELUBILMA1,6/12/2012,,Band,NOCA,1891-11011,"A,R/R",AHY,M,CP,NULL,43.3,94,95,22.5,NULL,,,, 
Springfield,COURAUDMA1,6/17/2012,,Band,CARW,2291-44300,"P/BU,A",AHY,M,CP,NULL,20.4,59,49,22.5,NULL,,,, 
Springfield,LEELINDMA1,6/17/2012,,Band,HOWR,2690-87921,"A,W/R",AHY,M,CP,NULL,10.3,52,52,17.4,NULL,,,, 
Springfield,LEELINDMA1,6/17/2012,,Band,NOCA,2531-91123,"A,O/G",AHY,M,CP,NULL,42.6,92,92,22.1,NULL,,,, 
Springfield,LEELINDMA1,6/17/2012,,Band,NOCA,2531-91124,"A/G,G",HY,F,J,NULL,40.6,88,90,26.1,NULL,,,, 
Springfield,FAERHOWMA1,6/19/2012,,Band,BCCH,2690-87922,"P,A/R",AHY,M,CP,NULL,11.6,65,62,16.1,NULL,,,, 
Springfield,FAERHOWMA1,6/19/2012,,Band,BCCH,2690-87923,"W/G,A",HY,U,J,NULL,11.5,65,60,16.4,NULL,,,, 
Springfield,FAERHOWMA1,6/19/2012,,Band,NOCA,2531-91126,"A/O,Y",AHY,F,BP,NULL,43.3,89,95,23.5,NULL,,,, 
Springfield,FAERHOWMA1,6/19/2012,,Band,NOCA,2531-91125,"W,A/Y",AHY,F,BP,NULL,50.9,90,95,24.9,NULL,,,, 
Springfield,JORGJANMA1,6/20/2012,,Band,GRCA,2531-91127,"A/BU,Y",AHY,M,CP,NULL,39.8,92,97,28.3,NULL,,,, 
Springfield,JORGJANMA1,6/20/2012,,Band,GRCA,2531-91128,"A/O,G",AHY,F,BP,NULL,33.4,88,89,27.1,NULL,,,, 
Springfield,JORGJANMA1,6/20/2012,,Band,GRCA,2531-91129,"Y,G/A",AHY,M,CP,NULL,35,86,86,27.5,NULL,,,, 
Springfield,JORGJANMA1,6/20/2012,,Band,SOSP,2571-83008,"A/W,G",AHY,M,CP,NULL,21.4,62,65,21,NULL,,,, 
Springfield,ZEPKJANMA1,6/21/2012,,Band,HOWR,2690-87822,"BK/G,A",AHY,M,CP,NULL,NULL,51,44,17.1,NULL,,,, 
Springfield,ZEPKJANMA1,6/21/2012,,Band,HOWR,2690-87821,"O,W/A",AHY,M,CP,NULL,11,52,40,17.2,NULL,,,, 
Springfield,MARTJUAMA1,6/22/2012,,Band,GRCA,1891-11013,"BU/P,A",AHY,F,BP,NULL,43,91,98,28.6,NULL,,,, 
Springfield,MARTJUAMA1,6/22/2012,,Band,GRCA,1891-11014,"W,Y/A",AHY,M,CP,NULL,37,94,97,28.6,NULL,,,, 
Springfield,MARTJUAMA1,6/22/2012,,Band,GRCA,1891-11012,"Y/P,A",AHY,M,CP,NULL,41,93,93,28.3,NULL,,,, 
Springfield,MARTJUAMA1,6/22/2012,,Band,NOCA,1891-11015,"W,P/A",SY,M,CP,NULL,51,97,101,22.7,NULL,,,, 
Springfield,HAYEROBMA1,6/23/2012,,Band,BCCH,2690-87925,"A/O,O",AHY,F,BP,NULL,10,62,59,17,NULL,,,, 
Springfield,HAYEROBMA1,6/23/2012,,Band,BCCH,2690-87926,"BU/A,Y",AHY,F,BP,NULL,10.9,62,61,17.2,NULL,,,, 
Springfield,HAYEROBMA1,6/23/2012,,Band,BCCH,2690-87924,"P/A,W",AHY,F,BP,NULL,10.1,59,59,17.4,NULL,,,, 
Springfield,HAYEROBMA1,6/23/2012,,Band,GRCA,2531-91130,"A/R,R",AHY,F,BP,NULL,31.8,85,86,25.8,NULL,,,, 
Springfield,HAYEROBMA1,6/23/2012,,Band,GRCA,2531-91131,"A/W,Y",AHY,M,CP,NULL,34.8,90,95,NULL,NULL,,,, 
Springfield,HAYEROBMA1,6/23/2012,,Band,GRCA,2531-91133,"W,W/A",AHY,M,CP,NULL,32.2,88,94,26.9,NULL,,,, 
Springfield,HAYEROBMA1,6/23/2012,,Band,NOCA,2531-91132,"W,A/G",AHY,F,BP,NULL,39.5,90,42,23.5,NULL,,,, 
Springfield,HAYEROBMA1,6/23/2012,,Band,SOSP,2571-83010,"A/O,Y",AHY,M,CP,NULL,21.1,61,64,21.4,NULL,,,, 
