hub,site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,featherID,attachmentID,rsLong,rsLat,notesEnc
Springfield,PARKFORMA1,7/30/2013,,Band,SOSP,2371-04355,"A/G,R",SY,M,CP,NULL,21.16,65,66,24.2,NULL,,,, 
Springfield,ROCHJPMA1,7/31/2013,,Band,BCCH,2540-94537,"O,R/A",AHY,U,U,NULL,11.34,66,64,18.6,NULL,,,, 
Springfield,ROCHJPMA1,7/31/2013,,Band,BCCH,2540-94538,"Y,G/A",SY,U,U,NULL,11.35,66,66,19.9,NULL,,,, 
Springfield,ROCHJPMA1,7/31/2013,,Band,NOCA,1891-11092,"A,G/W",AHY,M,CP,NULL,42.35,95,98,27.9,NULL,,,, 
Springfield,MIRKJOEMA1,7/31/2013,,Band,BCCH,2660-85460,"A,G/BU",HY,U,J,NULL,11.67,66,63,19.5,NULL,,,, 
Springfield,MIRKJOEMA1,7/31/2013,,Band,BCCH,2660-85459,"R,A/O",AHY,U,U,NULL,11.76,62,63,19.2,NULL,,,, 
Springfield,MIRKJOEMA1,7/31/2013,,Band,CARW,2371-04357,"A,G/G",SY,M,CP,NULL,21.96,58.5,50,24.6,NULL,,,, 
Springfield,MIRKJOEMA1,7/31/2013,,Band,GRCA,2561-86676,"A/BU,P",SY,M,CP,NULL,37.68,89,95,30.9,NULL,,,, 
Springfield,MIRKJOEMA1,7/31/2013,,Band,GRCA,2561-86675,"G,R/A",AHY,M,CP,NULL,35.89,88,96,30,NULL,,,, 
Springfield,MIRKJOEMA1,7/31/2013,,Band,HOWR,2660-85457,"O,A/W",AHY,M,CP,NULL,9.73,48,43,19.3,NULL,,,, 
Springfield,MIRKJOEMA1,7/31/2013,,Band,HOWR,2660-85458,"R,G/A",AHY,F,BP,NULL,10.82,48,41,18.7,NULL,,,, 
Springfield,MIRKJOEMA1,7/31/2013,,Band,SOSP,2371-04356,"Y/P,A",SY,M,CP,NULL,21.17,64,68,23.5,NULL,,,, 
Springfield,MIRKJOEMA1,7/31/2013,NA,Resight-participant,CARW,237104357,"A,G/G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.600984,42.590694,"rsNeighbor BBL, School Street, Greendfield, MA. KILLED BY CAT"
Springfield,BENNBILMA1,8/1/2013,NA,Resight-participant,SOSP,237104311,"O/A,O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BENNBILMA1,8/1/2013,NA,Resight-participant,HOWR,269087720,"W/A,P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LERMSUSMA1,8/4/2013,,Band,GRCA,2561-86688,"A/G,P",ASY,F,BP,NULL,34.89,88,88,28.5,NULL,,,, 
Springfield,LERMSUSMA1,8/4/2013,,Band,NOCA,2561-86689,"BU/A,Y",AHY,F,BP,NULL,41.34,86,97,25.9,NULL,,,, 
Springfield,BENNBILMA1,8/4/2013,NA,Resight-participant,BCCH,269087718,"R,A/BK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,SPRIYMCMA1,8/5/2013,,Band,BCCH,2660-85461,"R/O,A",AHY,M,CP,NULL,11.32,65,67,18,NULL,,,, 
Springfield,SPRIYMCMA1,8/5/2013,,Band,CARW,2371-04359,"A,W/R",SY,M,CP,NULL,19.22,59,51,21,NULL,,,, 
Springfield,SPRIYMCMA1,8/5/2013,,Band,CARW,2371-04358,"Y/BK,A",SY,F,BP,NULL,17.63,57,48,21.3,NULL,,,, 
Springfield,MERIMARMA1,8/17/2013,NA,Resight-participant,BCCH,269087791,"A,Y/Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LEWASUSMA1,8/19/2013,NA,Resight-participant,NOCA,256186608,"A,O/P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERIMARMA1,8/24/2013,NA,Resight-participant,BCCH,269087792,"R/A,BK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,DELUBILMA1,9/1/2013,NA,Resight-participant,NOCA,189111011,"A,R/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERIMARMA1,9/2/2013,NA,Resight-participant,CARW,237104348,"O/BK,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERIMARMA1,9/2/2013,NA,Resight-participant,CARW,237104349,"A/G,R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LEWASUSMA1,9/19/2013,NA,Resight-participant,NOCA,253191135,"G/A,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LANGPETMA1,10/1/2013,NA,Resight-participant,BCCH,269087918,"O,A/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LEWASUSMA1,10/3/2013,NA,Resight-participant,NOCA,256186608,"A,O/P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERCSUSMA1,10/4/2013,NA,Resight-participant,NOCA,253191199,"G/P,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERCSUSMA1,10/7/2013,NA,Resight-participant,NOCA,253191109,"A/W,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,We see this bird all the time! Frequent visitor since 2012!
Springfield,GRIFRACMA1,10/10/2013,NA,Resight-participant,AMRO,121236643,"BU,P/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BENNBILMA1,11/8/2013,NA,Resight-participant,BCCH,269087833,"W/P,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BENNBILMA1,11/9/2013,NA,Resight-participant,BCCH,269087718,"R,A/BK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,SLONJOHMA1,11/11/2013,NA,Resight-participant,BCCH,269087941,"P/A,P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LEWASUSMA1,11/19/2013,NA,Resight-participant,NOCA,256186608,"A,O/P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERIMARMA1,12/1/2013,NA,Resight-participant,BCCH,269087791,"A,Y/Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,ATHEJIMMA1,12/9/2013,NA,Resight-participant,SOSP,237104333,"A,O/O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,CLAYBRYMA1,12/15/2013,NA,Resight-participant,NOCA,256186618,"O/A,O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LEWASUSMA1,12/17/2013,NA,Resight-participant,NOCA,256186608,"A,O/P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BENNBILMA1,12/28/2013,NA,Resight-participant,BCCH,269087833,"W/P,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERIMARMA1,12/28/2013,NA,Resight-participant,BCCH,269087794,"O/R,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,DELUBILMA1,1/3/2014,NA,Resight-participant,NOCA,189111011,"A,R/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,AKREMIKMA2,1/25/2014,NA,Resight-participant,CARW,269106138,"O/O,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BENNBILMA1,1/31/2014,NA,Resight-participant,BCCH,269087719,"BU/A,P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,KANEBRIMA1,2/8/2014,NA,Resight-participant,BCCH,273027545,"Y/A,Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,KANEBRIMA1,2/8/2014,NA,Resight-participant,BCCH,273027546,"O/G,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,CLAYBRYMA1,3/2/2014,NA,Resight-participant,NOCA,256186618,"O/A,O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,ZEPKJANMA1,3/18/2014,NA,Resight-participant,NOCA,256186637,"A,R/G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,ZEPKJANMA1,3/18/2014,NA,Resight-participant,NOCA,256186637,"R/G,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,GRIFRACMA1,4/2/2014,NA,Resight-participant,NOMO,121236664,"O/P,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Continues to make regular appearances in the yard since first sighted 04/02/14.
Springfield,DOPLJANMA1,4/7/2014,NA,Resight-participant,BCCH,269087755,"W,A/W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BENNBILMA1,4/11/2014,NA,Resight-participant,BCCH,269087833,"W/P,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,DOPLJANMA1,4/11/2014,NA,Resight-participant,AMRO,121252856,"O,W/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,SLONJOHMA1,4/12/2014,NA,Resight-participant,BCCH,269087941,"P/A,P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BODKANNMA1,4/14/2014,NA,Resight-participant,NOCA,256186644,"Y,A,BK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LEWASUSMA1,4/16/2014,NA,Resight-participant,NOCA,256186608,"A,O/P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERCSUSMA1,4/18/2014,NA,Resight-participant,NOCA,253191199,"G/P,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This bird comes to my yard and feeder almost everyday for the past two years.
Springfield,CLAYBRYMA1,4/26/2014,NA,Resight-participant,NOCA,256186618,"O/A,O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BAKENANMA1,4/28/2014,NA,Resight-participant,BCCH,269087831,"G/Y,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BAKENANMA1,5/1/2014,NA,Resight-participant,NOCA,256186610,"G/G,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,GRIFRACMA1,5/1/2014,NA,Resight-participant,NOMO,121236664,"O/P,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BAKENANMA1,5/2/2014,NA,Resight-participant,BCCH,269087830,"BU,P/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,KINGGEOMA1,5/6/2014,NA,Resight-participant,GRCA,253191116,"A/O,Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BAKENANMA1,5/7/2014,NA,Resight-participant,BCCH,269087715,"R,O/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BENNBILMA1,5/9/2014,NA,Resight-participant,GRCA,256186612,"R/Y,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,BENNBILMA1,5/10/2014,NA,Resight-participant,BCCH,269087718,"R,A/BK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERIMARMA1,5/10/2014,NA,Resight-participant,BCCH,269087793,"P,A/G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LERMSUSMA1,5/13/2014,,Band,BCCH,2720-99601,"Y/P,A",ASY,M,CP,NULL,12.13,65,60,19.3,NULL,,,, 
Springfield,LERMSUSMA1,5/13/2014,,Band,GRCA,2641-85399,"Y,A/Y",ASY,M,CP,NULL,35.34,89,85,27.7,NULL,,,, 
Springfield,LERMSUSMA1,5/13/2014,,Band,SOSP,2571-83107,"BU,R/A",AHY,F,BP,NULL,24.1,62,60,21.1,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2014,,Band,BCCH,2720-99602,"A/BK,R",AHY,M,CP,NULL,11.58,64,62,17.8,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2014,,Band,BCCH,2720-99603,"BU/Y,A",ASY,F,BP,NULL,12.05,58,55,16.9,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2014,,Recap,GRCA,2531-91183,"A/Y,BU",ASY,M,CP,NULL,35.16,89,91,28.3,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2014,,Recap,GRCA,2531-91183,"Y,Y",ASY,M,CP,NULL,35.16,89,91,28.3,NULL,,,, 
Springfield,GRIFRACMA1,5/17/2014,NA,Resight-participant,GRCA,189111070,"A/P,BU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seen with unbanded Catbird.
Springfield,BULLTHOMA1,5/19/2014,,Band,AMRO,1352-63501,"R/W,A",SY,F,BP,NULL,104.79,127,94,38.2,NULL,,,, 
Springfield,BAKENANMA1,5/19/2014,NA,Resight-participant,NOCA,256186610,"G/G,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LERMSUSMA1,5/20/2014,,Band,EAPH,2720-99604,"-,A",SY,F,BP,NULL,19.12,82,67,16.3,NULL,,,, 
Springfield,LERMSUSMA1,5/20/2014,,Band,GRCA,2641-85601,"O,W/A",ASY,M,CP,NULL,35.59,85,91,28.5,NULL,,,, 
Springfield,LERMSUSMA1,5/20/2014,,Band,SOSP,2691-06102,"G/BK,A",AHY,M,CP,NULL,21.84,67,70,22,NULL,,,, 
Springfield,LERMSUSMA1,5/20/2014,,Band,SOSP,2691-06101,"W,Y/A",AHY,F,BP,NULL,23.67,65,64,21.6,NULL,,,, 
Springfield,LERMSUSMA1,5/20/2014,NA,Resight-participant,NOCA,256186689,"BU/A,Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,JONEJULMA1,5/21/2014,,Band,BCCH,2720-99501,"BU,BK/A",ASY,M,CP,NULL,10.84,62,61,16.2,NULL,,,, 
Springfield,JONEJULMA1,5/21/2014,,Recap,GRCA,1891-11063,"A/R,Y",ASY,M,CP,NULL,34.07,90,95,27.7,NULL,,,, 
Springfield,JONEJULMA1,5/21/2014,,Band,GRCA,2641-85602,"W/A,BK",ASY,M,CP,NULL,38.79,95,102,28.2,NULL,,,, 
Springfield,JONEJULMA1,5/21/2014,,Band,GRCA,2571-83108,"W/BK,A",SY,M,CP,NULL,35.52,90,95,28.8,NULL,,,, 
Springfield,JONEJULMA1,5/21/2014,,Band,NOCA,2641-85400,"W/P,A",AHY,M,CP,NULL,48.37,92,99,25.7,NULL,,,, 
Springfield,JONEJULMA1,5/21/2014,,Band,SOSP,2571-83109,"R,A/BK",AHY,M,CP,NULL,22.65,65,69,21.8,NULL,,,, 
Springfield,ATHEJIMMA1,5/22/2014,,Band,AMRO,1352-63502,"BK,BK/A",SY,M,CP,NULL,74.77,125,99,35.3,NULL,,,, 
Springfield,ATHEJIMMA1,5/22/2014,,Band,AMRO,1352-63503,"R/Y,A",SY,F,BP,NULL,79.5,125,96,33.1,NULL,,,, 
Springfield,ATHEJIMMA1,5/22/2014,,Band,BCCH,2720-99502,"R/A,W",ASY,M,CP,NULL,11.56,65,63,16.5,NULL,,,, 
Springfield,ATHEJIMMA1,5/22/2014,,Band,GRCA,2651-17001,"R/A,W",SY,M,CP,NULL,35.55,88,92,27.4,NULL,,,, 
Springfield,ATHEJIMMA1,5/22/2014,,Band,HOWR,2720-99605,"P,A/G",ASY,M,CP,NULL,10.53,49,45,16.9,NULL,,,, 
Springfield,ATHEJIMMA1,5/22/2014,,Band,RBWO,1352-63504,",A",AHY,M,BP,NULL,NULL,128,80,NULL,NULL,,,, 
Springfield,ATHEJIMMA1,5/22/2014,,Band,SOSP,2691-86601,"BK,BK/A",AHY,F,BP,NULL,19.28,60,62,21,NULL,,,, 
Springfield,LAPPHENMA1,5/23/2014,,Band,BCCH,2720-99504,"R,W/A",SY,F,BP,NULL,11.65,62,59,16.5,NULL,,,, 
Springfield,LAPPHENMA1,5/23/2014,,Band,CARW,2691-86602,"W/A,P",SY,M,CP,NULL,21.76,61,50,22.9,NULL,,,, 
Springfield,LAPPHENMA1,5/23/2014,,Band,GRCA,2651-17004,"A,G/Y",ASY,M,CP,NULL,34.05,93,99,29.2,NULL,,,, 
Springfield,LAPPHENMA1,5/23/2014,,Band,GRCA,2651-17003,"A/BK,O",ASY,M,CP,NULL,37.54,90,97,27.8,NULL,,,, 
Springfield,LAPPHENMA1,5/23/2014,,Band,GRCA,2651-17002,"BU,BK/A",SY,U,U,NULL,47.16,89,91,28.6,NULL,,,, 
Springfield,LAPPHENMA1,5/23/2014,,Band,HOWR,2720-99503,"R/A,BU",ASY,M,CP,NULL,11.05,48,43,17,NULL,,,, 
Springfield,LAPPHENMA1,5/23/2014,,Band,NOMO,1352-63505,"O/A,O",AHY,M,CP,NULL,52.91,116,118,32.1,NULL,,,, 
Springfield,LAPPHENMA1,5/23/2014,,Band,SOSP,2691-86603,"O,A/P",AHY,M,CP,NULL,21.83,65,62,21.9,NULL,,,, 
Springfield,BENNBILMA1,5/23/2014,NA,Resight-participant,SOSP,237104311,"O/A,O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MERIMARMA1,5/24/2014,,Band,AMRO,1352-63506,"G,Y/A",ASY,M,CP,NULL,75.87,127,101,32.8,NULL,,,, 
Springfield,MERIMARMA1,5/24/2014,,Band,AMRO,1352-63507,"P/A,O",ASY,F,BP,NULL,93.3,124,94,34.7,NULL,,,, 
Springfield,MERIMARMA1,5/24/2014,,Recap,BCCH,2690-87789,"W,A/O",ASY,M,CP,NULL,11.17,67,63,16.9,NULL,,,, 
Springfield,MERIMARMA1,5/24/2014,,Band,BCCH,2720-99505,"W/A,BU",AHY,M,CP,NULL,12.49,69,64,18.3,NULL,,,, 
Springfield,MERIMARMA1,5/24/2014,,Band,GRCA,2641-85603,"A/BK,Y",ASY,F,BP,NULL,41.96,95,95,28.4,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,AMRO,1212-36682,"BK,P/A",SY,M,CP,NULL,75.76,125,93,32.8,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,AMRO,1212-36680,"R/O,A",SY,F,BP,NULL,74.49,121,92,33,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,AMRO,1212-36681,"Y,BK/A",SY,F,BP,NULL,70.52,121,88,31.2,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,BCCH,2730-27502,"A/O,G",SY,M,CP,NULL,11.21,63,61,17.2,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,GRCA,2651-17103,"A,Y/R",SY,M,CP,NULL,35.05,85,86,27.7,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,GRCA,2651-17102,"A,P/P",SY,M,CP,NULL,37.27,88,84,27.3,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,GRCA,2651-17101,"Y/A,Y",SY,M,CP,NULL,36.93,87,90,26.5,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,HOWR,2730-27501,"P,BU/A",ASY,F,BP,NULL,12.54,49,41,16.2,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,SOSP,2371-04360,"G/A,W",AHY,M,CP,NULL,20.15,62,62,22.6,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,,Band,SOSP,2371-04361,"Y,BK/A",AHY,M,CP,NULL,21.83,64,66,21.4,NULL,,,, 
Springfield,PIEPSUSMA1,5/27/2014,NA,Resight-technician,GRCA,189111091,"BK/A,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,HALALEEMA1,5/28/2014,,Band,AMRO,1212-36683,"A/P,R",SY,M,CP,NULL,74.24,121,91,33.9,NULL,,,, 
Springfield,HALALEEMA1,5/28/2014,,Band,BCCH,2730-27504,"BU,O/A",SY,M,CP,NULL,11.54,66,63,17.3,NULL,,,, 
Springfield,HALALEEMA1,5/28/2014,,Band,BCCH,2730-27503,"Y,BK/A",SY,M,CP,NULL,11.04,67,63,15.5,NULL,,,, 
Springfield,HALALEEMA1,5/28/2014,,Band,NOCA,2651-17104,"P,P/A",AHY,F,BP,NULL,42.58,93,99,23.7,NULL,,,, 
Springfield,HALALEEMA1,5/28/2014,,Band,NOCA,2651-17105,"R,A/R",AHY,M,CP,NULL,39.24,95,105,24.3,NULL,,,, 
Springfield,HALALEEMA1,5/28/2014,,Band,SOSP,2371-04362,"P/A,W",AHY,M,CP,NULL,21.88,65,70,21.1,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,BCCH,2730-27505,"BK/BK,A",SY,M,CP,NULL,11.43,65,62,17.2,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,BCCH,2730-27506,"BK/R,A",SY,M,CP,NULL,11.95,61,60,16.8,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,GRCA,2651-17109,"A,W/R",ASY,M,CP,NULL,36.61,91,96,27,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,GRCA,2651-17108,"BK,A/BK",ASY,M,CP,NULL,37.62,91,95,28.6,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,GRCA,2651-17107,"W/G,A",ASY,F,BP,NULL,40.78,97,99,28.5,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,NOCA,2651-17106,"A,W/R",AHY,M,CP,NULL,45.67,95,97,21.9,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,RBWO,1212-36684,",A",AHY,F,BP,NULL,66.1,130,79,20.6,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,SOSP,2371-04366,"A/R,R",AHY,M,CP,NULL,22.17,65,64,21.9,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,SOSP,2371-04364,"BK/R,A",AHY,M,CP,NULL,21.19,65,65,22.1,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,SOSP,2371-04363,"BU/Y,A",AHY,F,BP,NULL,21.86,62,62,20.5,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,SOSP,2371-04365,"O/A,W",AHY,M,CP,NULL,20.67,63,63,21.6,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,,Band,SOSP,2371-04365,"W,O/A",AHY,M,CP,NULL,20.67,63,63,21.6,NULL,,,, 
Springfield,FAERHOWMA1,5/29/2014,NA,Resight-technician,NOCA,253191126,"A/O,Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,DAVIJUDMA1,5/30/2014,,Band,BCCH,2730-27507,"P/A,Y",SY,M,CP,NULL,11.04,65,62,16.5,NULL,,,, 
Springfield,DAVIJUDMA1,5/30/2014,,Band,BCCH,2730-27508,"W/A,W",SY,M,CP,NULL,11.35,65,61,16.8,NULL,,,, 
Springfield,DAVIJUDMA1,5/30/2014,,Band,NOCA,2651-17110,"W,W/A",AHY,F,BP,NULL,47.59,89,99,23.6,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,AMRO,1352-63508,"Y,A/Y",SY,M,CP,NULL,81.19,122,94,32.2,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,BCCH,2720-99508,"A/W,O",SY,M,CP,NULL,12.03,64,58,16.6,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,BCCH,2720-99509,"R,P/A",AHY,M,CP,NULL,11.33,65,61,16.5,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,CARW,2691-06103,"O,W/A",ASY,M,CP,NULL,21.06,60,48,21.1,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,GRCA,2641-85605,"G/A,BK",ASY,M,CP,NULL,33.54,86,88,27.7,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,GRCA,2641-85604,"R,W/A",ASY,M,CP,NULL,36.78,93,99,28.4,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,HOWR,2720-99507,"BK/A,BK",AHY,F,BP,NULL,12.72,50,42,15.3,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,HOWR,2720-99506,"R,A/P",AHY,M,CP,NULL,10.5,48,43,15.8,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,NOCA,2641-85607,"BU,W/A",AHY,F,BP,NULL,41.06,89,97,24.5,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,NOCA,2641-85606,"G,Y/A",AHY,M,CP,NULL,47.07,90,97,23.8,NULL,,,, 
Springfield,JAKUSTEMA1,5/31/2014,,Band,SOSP,2691-06104,"A,W/Y",AHY,M,CP,NULL,23.34,68,63,21.3,NULL,,,, 
Springfield,BODKANNMA1,6/1/2014,,Recap,BCCH,2690-87771,"A,P/G",AHY,M,CP,NULL,12.36,65,63,17.5,NULL,,,, 
Springfield,BODKANNMA1,6/1/2014,,Band,BCCH,2720-99512,"BU,A/G",ASY,M,CP,NULL,11.72,61,60,16.3,NULL,,,, 
Springfield,BODKANNMA1,6/1/2014,,Band,BCCH,2720-99511,"BU,A/R",ASY,M,CP,NULL,11.37,64,61,17,NULL,,,, 
Springfield,BODKANNMA1,6/1/2014,,Band,BCCH,2720-99510,"R,BK/A",ASY,M,CP,NULL,11.91,67,63,16.8,NULL,,,, 
Springfield,ROSEJOSMA1,6/1/2014,,Band,CARW,2371-04368,"A,O/Y",ASY,F,BP,NULL,21.94,60,51,22.6,NULL,,,, 
Springfield,ROSEJOSMA1,6/1/2014,,Band,CARW,2371-04367,"P/A,P",HY,U,J,NULL,19.87,60,49,21.9,NULL,,,, 
Springfield,BODKANNMA1,6/1/2014,,Band,GRCA,2641-85608,"A,R/W",ASY,M,CP,NULL,38.2,89,91,26.6,NULL,,,, 
Springfield,ROSEJOSMA1,6/1/2014,,Band,GRCA,2651-17111,"A/W,G",ASY,M,CP,NULL,36.25,88,93,28,NULL,,,, 
Springfield,ROSEJOSMA1,6/1/2014,,Band,GRCA,2651-17112,"BU/A,O",ASY,F,BP,NULL,45.01,87,94,27.1,NULL,,,, 
Springfield,BODKANNMA1,6/1/2014,,Band,SOSP,2691-06105,"A,R/G",AHY,F,BP,NULL,23.74,61,64,19.9,NULL,,,, 
Springfield,BODKANNMA1,6/1/2014,,Band,SOSP,2691-06106,"Y/A,BK",AHY,M,CP,NULL,NULL,64,66,22.3,NULL,,,, 
Springfield,ROSEJOSMA1,6/1/2014,NA,Resight-technician,GRCA,189111048,"R/R,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,FORDSUSMA1,6/2/2014,,Band,BCCH,2730-27510,"A,G/W",SY,M,CP,NULL,12.19,65,63,17.4,NULL,,,, 
Springfield,FORDSUSMA1,6/2/2014,,Band,BCCH,2730-27509,"A,R/Y",AHY,M,CP,NULL,11.08,63,60,17.1,NULL,,,, 
