siteID,date.Of.Encounter,ENCOUNTER.TYPE,bandNumber,age,sex,breedingCond,fat,mass,wing,tl,tarsus
JORGJANMA1,6/20/2012,Band,2571-83008,AHY,M,CP,NULL,21.4,62,65,21
ZEPKJANMA1,6/21/2012,Band,2690-87822,AHY,M,CP,NULL,NULL,51,44,17.1
ZEPKJANMA1,6/21/2012,Band,2690-87821,AHY,M,CP,NULL,11,52,40,17.2
MARTJUAMA1,6/22/2012,Band,1891-11013,AHY,F,BP,NULL,43,91,98,28.6
MARTJUAMA1,6/22/2012,Band,1891-11014,AHY,M,CP,NULL,37,94,97,28.6
MARTJUAMA1,6/22/2012,Band,1891-11012,AHY,M,CP,NULL,41,93,93,28.3
MARTJUAMA1,6/22/2012,Band,1891-11015,SY,M,CP,NULL,51,97,101,22.7
HAYEROBMA1,6/23/2012,Band,2690-87925,AHY,F,BP,NULL,10,62,59,17
HAYEROBMA1,6/23/2012,Band,2690-87926,AHY,F,BP,NULL,10.9,62,61,17.2
HAYEROBMA1,6/23/2012,Band,2690-87924,AHY,F,BP,NULL,10.1,59,59,17.4
HAYEROBMA1,6/23/2012,Band,2531-91130,AHY,F,BP,NULL,31.8,85,86,25.8
HAYEROBMA1,6/23/2012,Band,2531-91131,AHY,M,CP,NULL,34.8,90,95,NULL
HAYEROBMA1,6/23/2012,Band,2531-91133,AHY,M,CP,NULL,32.2,88,94,26.9
HAYEROBMA1,6/23/2012,Band,2531-91132,AHY,F,BP,NULL,39.5,90,42,23.5
HAYEROBMA1,6/23/2012,Band,2571-83010,AHY,M,CP,NULL,21.1,61,64,21.4
HAYEROBMA1,6/23/2012,Band,2571-83009,AHY,M,CP,NULL,20.8,62,60,21.6
WHELGWEMA1,6/23/2012,Band,2690-87823,AHY,M,CP,NULL,10,54,42,18
LATHJANMA1,6/24/2012,Band,2531-91134,AHY,M,CP,NULL,34.5,92,95,27.1
WARRPAIMA1,6/24/2012,Band,1212-36642,AHY,M,CP,NULL,85,125,95,35.6
LEWASUSMA1,6/25/2012,Band,1212-36667,AHY,F,BP,NULL,75.5,127,83,31.6
LEWASUSMA1,6/25/2012,Band,2531-91135,AHY,F,BP,NULL,43.1,88,92,23.1
LEWASUSMA1,6/25/2012,Band,2531-91136,AHY,F,BP,NULL,39.5,90,90,24.1
GRIFRACMA1,6/26/2012,Band,1212-36643,AHY,M,CP,NULL,73,129,94,32.7
GRIFRACMA1,6/26/2012,Band,1212-36644,HY,U,J,NULL,70,123,91,32.9
GRIFRACMA1,6/26/2012,Band,2690-87824,AHY,F,BP,NULL,11,64,57,15.5
LAPPHENMA1,6/28/2012,Band,2531-91138,AHY,M,CP,NULL,NULL,89,90,28
LAPPHENMA1,6/28/2012,Band,2531-91137,AHY,F,BP,NULL,NULL,87,91,25.7
LAPPHENMA1,6/28/2012,Band,2690-87927,AHY,M,CP,NULL,NULL,57,45,18.5
ZIMMBOBMA1,6/29/2012,Band,1891-11016,AHY,M,CP,NULL,36,95,97,29
RINADAVMA1,6/29/2012,Band,1212-36668,AHY,M,CP,NULL,76.91,130,98,34.3
RINADAVMA1,6/29/2012,Band,2690-87928,HY,U,J,NULL,9.96,60,59,15.8
RINADAVMA1,6/29/2012,Band,2690-87929,AHY,F,BP,NULL,11.11,65,58,16.4
WOODSANMA1,6/30/2012,Band,1212-36645,AHY,M,CP,NULL,79,126,96,33.6
WOODSANMA1,6/30/2012,Band,2690-87825,AHY,M,CP,NULL,11,51,51,41
BRODDORMA1,6/30/2012,Band,2690-87930,AHY,F,BP,NULL,9.64,60,57,16.6
BRODDORMA1,6/30/2012,Band,2690-87931,AHY,F,BP,NULL,11.55,65,60,17
BRODDORMA1,6/30/2012,Band,2531-91139,HY,U,J,NULL,36.46,91,82,26.6
GRUBBECMA1,7/2/2012,Band,1212-36646,SY,F,BP,NULL,83,123,94,32.7
HILLSALMA1,7/3/2012,Band,2690-87826,AHY,F,BP,NULL,10,61,58,17.1
HILLSALMA1,7/3/2012,Band,2690-87827,AHY,F,BP,NULL,11,64,59,16.4
HILLSALMA1,7/3/2012,Band,1891-11018,AHY,F,BP,NULL,39,94,99,28.7
HILLSALMA1,7/3/2012,Band,1891-11017,AHY,M,CP,NULL,37,87,89,27.7
HILLSALMA1,7/3/2012,Band,1891-11019,AHY,M,CP,NULL,40,92,95,22.4
SURNSCOMA1,7/4/2012,Band,2690-87932,SY,F,BP,NULL,9.18,62,61,16.7
DROLBARMA1,7/5/2012,Band,2690-87933,HY,U,J,NULL,12.4,68,66,17.2
MALTELIMA1,7/6/2012,Band,1212-36669,HY,U,J,NULL,72.28,126,101,33.5
MALTELIMA1,7/6/2012,Band,1212-36670,HY,U,J,NULL,78.8,135,101,33.1
MALTELIMA1,7/6/2012,Band,2690-87934,HY,U,J,NULL,10.6,64,60,15.4
MALTELIMA1,7/6/2012,Band,2531-91140,AHY,F,BP,NULL,49.68,90,95,24.5
BAKENANMA1,7/8/2012,Band,2690-87830,AHY,M,CP,NULL,12,66,60,18.2
BAKENANMA1,7/8/2012,Band,2690-87828,AHY,F,BP,NULL,11,65,62,17
BAKENANMA1,7/8/2012,Band,2690-87831,SY,F,BP,NULL,10,63,61,16.1
BAKENANMA1,7/8/2012,Band,1891-11020,AHY,M,CP,NULL,34,87,88,27.7
BAKENANMA1,7/8/2012,Band,2690-87829,AHY,M,CP,NULL,11,49,42,17.1
ROMANICMA1,7/8/2012,Band,2690-87935,HY,U,J,NULL,11.29,63,59,16.3
ROMANICMA1,7/8/2012,Band,2690-87936,AHY,F,BP,NULL,11.69,66,61,16.5
ROMANICMA1,7/8/2012,Band,1212-36671,AHY,M,CP,NULL,49.19,110,121,33.6
HALLJENMA1,7/9/2012,Band,1212-36647,AHY,F,BP,NULL,81,125,96,31.4
HALLJENMA1,7/9/2012,Band,2291-44299,AHY,M,CP,NULL,21,64,66,21.5
LAMBJANMA1,7/10/2012,Band,1212-36672,AHY,F,BP,NULL,82.2,119,99,32
RICHALMA1,7/10/2012,Band,2690-87832,AHY,F,BP,NULL,11,58,57,16.2
LAMBJANMA1,7/10/2012,Band,2531-91142,HY,U,J,NULL,32.82,89,88,27.1
LAMBJANMA1,7/10/2012,Band,2531-91141,AHY,F,BP,NULL,35.58,89,90,28
RICHALMA1,7/10/2012,Band,2291-44298,AHY,F,BP,NULL,20,64,62,21.2
LATHJANMA1,7/12/2012,Band,1212-36673,AHY,M,CP,NULL,84.78,120,94,34.4
BENNBILMA1,7/12/2012,Band,2690-87835,U,U,U,NULL,10,67,63,16.3
LATHJANMA1,7/12/2012,Band,2690-87937,SY,F,BP,NULL,11.14,65,60,17.4
BENNBILMA1,7/12/2012,Band,2690-87834,HY,U,J,NULL,11,65,60,16.3
